iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
230,1123.8671,0.0177099738,0,0,0.0285984166,0.0841220543,0,0.0073309876,0,5,0
231,1125.2453,0.0177037184,0,0,0.0286034904,0.0841231942,0,0.00732888095,0,5,0
232,1126.6175,0.0176989081,0,0,0.0285998471,0.0841246322,0,0.00732561434,0,5,0
233,1128.036,0.0176925239,0,0,0.0286028571,0.0841262266,0,0.00732347229,0,5,0
234,1129.4914,0.0176867206,0,0,0.028600473,0.0841281414,0,0.00732055213,0,5,0
235,1131.1208,0.0104521284,0,0,0.028656343,0.0841314495,0,0.00727208378,0,2.5,0
236,1132.597,0.0104404746,0,0,0.0286008995,0.0841356069,0,0.00723859482,0,2.5,0
237,1134.1608,0.0104306872,0,0,0.0286582764,0.0841396078,0,0.00721432082,0,2.5,0
238,1135.954,0.0104220164,0,0,0.0285955239,0.084143512,0,0.00719129201,0,2.5,0
239,1137.3342,0.0104143322,0,0,0.0286686327,0.084147349,0,0.0071752402,0,2.5,0
240,1138.7124,0.0104070463,0,0,0.028579196,0.0841516182,0,0.00715691829,0,2.5,0
241,1140.096,0.0104004061,0,0,0.0286951456,0.0841556117,0,0.00714677572,0,2.5,0
242,1141.4796,0.0103941087,0,0,0.0285376273,0.0841590166,0,0.0071300026,0,2.5,0
243,1142.8638,0.0103885322,0,0,0.0287640933,0.0841632932,0,0.00712593365,0,2.5,0
244,1144.2568,0.0103832542,0,0,0.0284208283,0.0841668993,0,0.0071065845,0,2.5,0
245,1145.6575,0.0103782893,0,0,0.0289267804,0.0841699466,0,0.00711411191,0,2.5,0
246,1147.2728,0.0103730819,0,0,0.0281529333,0.084173508,0,0.00708222156,0,2.5,0
247,1149.1266,0.0103696133,0,0,0.0294734146,0.0841774717,0,0.0071157515,0,2.5,0
248,1150.8331,0.0103672414,0,0,0.0271703899,0.0841814205,0,0.0070425258,0,2.5,0
249,1152.7312,0.010363081,0,0,0.0294405706,0.0841832533,0,0.00710517634,0,2.5,0
250,1154.1052,0.0103589187,0,0,0.0282838307,0.0841850191,0,0.00706729479,0,2.5,0
251,1155.4709,0.0103571294,0,0,0.0287829936,0.0841869712,0,0.00708031189,0,2.5,0
252,1156.8478,0.0103547979,0,0,0.0285098925,0.0841887891,0,0.00706982473,0,2.5,0
253,1158.2201,0.0103508125,0,0,0.0287343133,0.0841907114,0,0.0070725712,0,2.5,0
254,1159.5902,0.0103495716,0,0,0.0285571124,0.0841929689,0,0.00706408452,0,2.5,0
255,1160.9687,0.0103473082,0,0,0.0286854915,0.0841949806,0,0.0070663034,0,2.5,0
256,1162.3838,0.0103452241,0,0,0.0285851452,0.0841971338,0,0.00706144096,0,2.5,0
257,1163.979,0.0103420968,0,0,0.0286688171,0.0841988549,0,0.00706204167,0,2.5,0
258,1165.4889,0.01034082,0,0,0.0285945013,0.0842015967,0,0.00705690729,0,2.5,0
259,1167.3713,0.00887649323,0,0,0.0286884531,0.0842046142,0,0.00705147721,0,2,0
260,1168.7474,0.0088739915,0,0,0.0285375342,0.0842071027,0,0.00704322662,0,2,0
261,1170.1275,0.00887199554,0,0,0.0287218895,0.0842099786,0,0.0070433151,0,2,0
262,1171.4975,0.00886861964,0,0,0.0285091288,0.0842128843,0,0.00703419978,0,2,0
263,1172.8787,0.00886593679,0,0,0.0287685823,0.0842158273,0,0.00703685451,0,2,0
264,1174.2489,0.00886362185,0,0,0.0284375045,0.0842187777,0,0.007023782,0,2,0
265,1175.6176,0.00886108054,0,0,0.0288847126,0.0842219591,0,0.007034095,0,2,0
266,1176.9969,0.0088582821,0,0,0.0283030234,0.0842246413,0,0.0070130229,0,2,0
267,1178.4577,0.00885632007,0,0,0.0291170664,0.0842276737,0,0.00703606894,0,2,0
268,1180.3661,0.0088542206,0,0,0.0279216599,0.084230639,0,0.00699725701,0,2,0
269,1181.8246,0.00885356783,0,0,0.0298555307,0.0842340365,0,0.00705511356,0,2,0
270,1184.0871,0.00884976678,0,0,0.0283071175,0.0842355117,0,0.00700546987,0,2,0
271,1185.4903,0.00884856159,0,0,0.0287382379,0.0842373222,0,0.00701861316,0,2,0
272,1186.8733,0.00884738991,0,0,0.0285714492,0.0842388868,0,0.00701295584,0,2,0
273,1188.2483,0.00884625529,0,0,0.0286503006,0.0842407644,0,0.00701438263,0,2,0
274,1189.618,0.00884496583,0,0,0.0286097974,0.0842424855,0,0.00701239379,0,2,0
275,1190.9877,0.00884369747,0,0,0.028632585,0.0842440948,0,0.0070122662,0,2,0
